30/09/2019,01/10/2019,02/10/2019,03/10/2019,04/10/2019,05/10/2019,06/10/2019,07/10/2019,08/10/2019,09/10/2019,10/10/2019,11/10/2019,12/10/2019,13/10/2019,14/10/2019,15/10/2019,16/10/2019,17/10/2019,18/10/2019,19/10/2019,20/10/2019,21/10/2019,22/10/2019,23/10/2019,24/10/2019,25/10/2019,26/10/2019,27/10/2019,28/10/2019,29/10/2019,30/10/2019,31/10/2019,01/11/2019,02/11/2019,03/11/2019,04/11/2019,05/11/2019,06/11/2019,07/11/2019,08/11/2019,09/11/2019,10/11/2019,11/11/2019,12/11/2019,13/11/2019,14/11/2019,15/11/2019,16/11/2019,17/11/2019,11/11/2026,11/11/2027
MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,MEATS:,,MEATS:,,
Black Pepper Pork (Not bad la),Not Available,Braised Pork Belly w Mei Chye ,Not Available,Steamed Pork w Salted Fish ,,Claypot Style Dry Bak Ku Teh w Shredded Cuttlefish,Jiang Zheng Spare Ribs ,N/A,Dong Po Rou ,N/A,Salted Fish Sliced Pork ,,Sweet & Sour Pork ,Gan Xiang Pork ,Honey Glazed Chicken                   ,Wok Fried Ginger Scallion Pork ,Ayam Kanyit Goreng,Steamed Pork w Salted Fish ,,Stewed Black Bean Sauce Pork Ris ,Mei Chye Kou Rou ,"Nasi Lemak (Chicken Wing, Ikan Bilis & Peanut, Otah, Golden Fish Chip & Sambal)",Claypot Style Dry Bak Ku Teh,Not Available,Salted Fish Steamed Pork ,,Curry Pork,Wok Fried Ginger Scallion Pork ,Not Available,Sweet & Sour Pork ,Not Available,Jiang Zheng Spare Ribs ,,Plum Sauce Pork Ribs ,Yu Xiang Rou Si ,Not Available,Braised Pork Belly w Mei Chye ,Not Available,Stewed Pig Trotters w Peanuts ,,Claypot Style Dry Bak Ku Tehh w Shredded Cuttlefish,Hainanese Pork Chop ,Not Available,Jiang Zheng Spare Ribs,Not Available,Mei Chye Kou Rou,,Char Siew Sauced Pork Ribs,,
Szechuan Gong Bao Chicken (A tad spicy),,Taiwanese 3 Cup Chicken ,,Herbal Chicken w Black Fungus ,,Nanyang Style Curry Chicken ,Salted Egg Yolk Chicken ,,Oyster Sauce Chicken w Shiitake ,,Wok Fried Ginger Scallion Chicken ,,Herbal Chicken w Wolfberries ,Mongolian Chicken ,Steamed Fish w/Black Bean Sauce,Salted Egg Yolk Chicken ,Assam Curry Fillet ,Herbal Chicken w Black Fungus ,,Nanyang Style Curry Chicken ,Salt & Pepper Chicken ,,Oyster Sauce Chicken w Shiitake ,,Wok Fried Black Pepper Chicken ,,Taiwanese Salt & Pepper Chicken,Chicken Rendang,,Taiwanese 3 Cup Chicken ,,Baked Cajun Chicken ,,Wok Fried Black Pepper Chicken ,Rosemary Chicken w Baby Potatoes ,,Taiwanese 3 Cup Chicken ,,Wok Fried Mongolian Chicken ,,Nanyang Style Curry Chicken ,Salted Egg Yolk Chicken ,,Oyster Sauce Chicken w Shiitake ,,Authentic Butter Chicken ,,Herbal Chicken w Wolfberries ,,
Malaysia Style Creamy Butter Fish (Very tasty very creamy I like!!!),,Sweet & Sour Fish w Nata De Coco,,Hk  Style Typhoon Prawns ,,Taiwanese Salt & Pepper Fish ,Szechuan Gong Bao Fish ,,Crispy Assam Fish w Pineapples ,,Buttery Salted Egg Yolk Fish ,,Cereal Fish ,Wok Fried Ginger Scallion Fish ,,Tom Yum Steamed Fish ,,Hk  Style Typhoon Prawns ,,Taiwanese Salt & Pepper Fish ,Szechuan Gong Bao Fish ,,Buttery Salted Egg Yolk Fish ,,Buttery Cereal Fish ,,Ebi Prawns w Spicy Mayo,Baked Pesto Fish ,,Gan Xiang Clams ,,Buttery Salted Egg Yolk Fish ,,Taiwanese Salt & Pepper Prawns ,Wok Fried Black Pepper Clams,,Sweet & Sour Fish w Nata De Coco,,Hk  Style Typhoon Prawns ,,Taiwanese Salt & Pepper Fish ,Szechuan Gong Bao Fish ,,Typhoon Shelter Fish ,,Buttery Salted Egg Yolk Fish ,,Cereal Fish ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,SIDE DISHES:,,SIDE DISHES:,,
Otah Otah (Sedap!),Not Available,Hashbrown ,Not Available,Thai Style Beancurd ,,Cai Poh Egg ,Ngo Hiang Crabmeat Roll ,N/A,Vegetarian Spring Rolls ,N/A,Thai Style Beancurd ,,Cai Poh Egg ,Sweet & Sour Potatoes with Chicken Frank ,Local Chap Chye,Sweet & Sour Potatoes w Chicken Frank ,Broccoli,Thai Style Seafood Beancurd ,,Foo Yong Omelette ,Ngo Hiang Crabmeat Roll ,,Sweet & Sour Potatoes w Chicken Frank ,Not Available,Thai Style Beancurd ,,Steamed Egg with century egg,Sweet & Sour Potatoes w Chicken Frank ,Not Available,Steamed Egg w Crabstick ,Not Available,Shrimp Silky Omelette ,,Teriyaki Cuttlefish Balls ,Otah Otah ,Not Available,Hashbrown ,,Thai Style Beancurd ,,Cai Poh Egg ,Ngo Hiang Crabmeat Roll ,Not Available,Otah Spring Roll ,Not Available,Ma La Xiang Guo,,Kimchi Gyoza ,,
"Tomato Egg (Tomato & Egg, name a better couple)",,Foo Yong Omelette ,,Seafood Wanton,,Wu Xiang ,Authentic Ma Po Tofu ,,Omelette w Shrimps ,,Seafood Wanton,,Kimchi Gyoza ,Crabmeat Wu Xiang,Steamed Fish Cake,Cai Poh Omelette ,Fried Potatoes,Yakitori Chicken Skewer,,Curry Samosa ,Authentic Ma Po Tofu ,,Omelette w Shrimps ,,Seafood Wanton,,Tofu w minced pork,Ma Po Seafood Tofu ,,Yakitori Chicken Skewers ,,Otah Otah ,,Tomato Egg ,Tomato Egg ,,Foo Yong Omelette ,,Seafood Wanton,,5 Spice Wu Xiang ,Authentic Ma Po Tofu ,,Omelette w Shrimps ,,Braised Egg ,,Hong Shao Tofu ,,
Kimchi Gyoza (Annyeonghaseyo!!!),,Seafood Beancurd Roll in Chilli Crab Sauce + Man Tou ,,Yong Tau Foo in Hakka Gravy ,,Silken Tofu w Crabstick ,Steamed Egg w Shiitake ,,Yong Tau Foo in Laksa Gravy,,Braised Egg ,,Hong Shao Tofu ,Seafood Wanton ,,Seafood Tofu in Chilli Crab Sauce w Man Tou,,Yong Tau Foo in Hakka Gravy ,,Silken Tofu w Crabstick ,Steamed Egg w Shiitake ,,Yong Tau Foo in Laksa Gravy,,Braised Egg ,,Otah Spring Roll,Vegetarian Spring Roll ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,Kimchi Gyoza ,,Seafood Beancurd Roll in Chilli Crab Sauce + Man Tou ,,Ampang Yong Tau Foo ,,Homemade Rojak ,Steamed Egg w Shiitake ,,Yong Tau Foo in Laksa Gravy,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,
2 Types of Seasonal Vegetables (Like anyone eats this lor),,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,2 Types of Seasonal Vegetables ,,Thai Style Seafood Tofu w Roasted Peanuts ,,Cai Poh Tofu,,Ma La Xiang Guo ,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,2 Types of Seasonal Vegetables ,,2 Types of Seasonal Vegetables ,,Thai Style Beancurd ,,Gado Gado ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUP:,SOUP:,SOUP:,SOUP:,SOUP:,,SOUP:,SOUP:,SOUP:,SOUP:,SOUP:,SOUP:,,SOUP:,SOUP:,SOUP:,SOUP:,SOUP:,SOUP:,,SOUP:,SOUP:,SOUP:,SOUP:,SOUP:,SOUP:,,SOUP:,SOUP:,SOUP:,SOUP:,"SOUP:
",SOUP:,,"SOUP:
","SOUP:
","SOUP:
","SOUP:
","SOUP:
","SOUP:
",,SOUP:,SOUP:,SOUP:,SOUP:,SOUP:,SOUP:,,SOUP:,,
Herbal Chicken Soup (Good for health!),Not Available,Egg Drop Seaweed Soup ,Not Available,Salted Veg Tofu Soup ,,BKT Soup w Pork Balls ,Tomato Chicken Soup ,N/A,Watercress Soup ,N/A,Fish Ball Soup ,,BKT Soup w Pork Balls ,Herbal Chicken Soup,Not Available,Egg Drop Seaweed Soup ,,Salted Veg Tofu Soup ,,BKT Soup w Pork Balls ,Herbal Chicken Soup ,,Watercress Soup w Red Dates ,Not Available,Fish Ball Soup ,,Cream of Mushroom Soup,Watercress Soup ,Not Available,Fish Ball Soup ,Chilled Almond Jelly with Longan ,Cream of Chicken Soup,,BKT Meatball Soup ,ABC Soup,Not Available,Egg Drop Seaweed Soup ,,Salted Veg Tofu Soup ,,BKT Soup w Pork Balls ,Tomato Chicken Soup ,Not Available,Watercress Soup ,Not Available,Miso Soup,,Not Available,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,,"SPECIAL:
",SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,SPECIAL:,,SPECIAL:,,
N/A (Now only on Tuesdays & Thursdays sobs),"Tomato Cream Sauce Penne, Rosemary Chicken Chop & Fries ",Not Available,"Tom Yum Sliced Fish Soup (Fried Fish, Lobster Ball, Minced Pork & Egg Floss)",Not Available,,N/A,N/A,"Pad Thai, Thai Basil Pork, Thai Style Seafood Tofu & Egg Strands  ",N/A,Shoyu Udon w Beancurd Skin & Ebi Fry,N/A,,N/A,Ayam Goreng,"Japanese Ramen (Torched Pork Belly, Sous Vide Egg & Naruto)",Fish & Chips,"XO Milky Sliced Fish Soup ( Fried Fish, Lobster Ball, Minced Pork  & Egg Floss )",Authentic Butter Chicken Set,,Not Available,Not Available,"Nasi Lemak (Chicken Wing, Ikan Bilis & Peanut, Otah, Golden Fish Chip & Sambal)",Not Available,Wok Fied Black Bean Beef Hor Fun (served w chye sim & seafood),Not Available,, Not Available,,"Pesto Fusilli, Cajun Chicken Drumstick & Caesar Salad ",Not Available,Japanese Katsudon,Not Available,,Not Available,Not Available,"Ma La Xiang Guo (Ma La Noodles, Golden Man Tou & Ma La Mixed Ingredients)",Not Available,Not Available,Not Available,,Not Available,Not Available,"Olive Pilaf Rice, Fish w Mushroom Cream Sauce + Sweet Potato Fries",Not Available,Not Available,Not Available,,Not Available,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,DESSERT:,,DESSERT:,,
Panna Cotta w Vanilla Syrup (JK.. Grass Jelly),Chilled Honey Sea Coconut w Pineapples ,Apple ,Chilled Almond Jelly with Longan ,Banana,,Apple,Grass Jelly & Longan ,Apple,Chilled Honey Sea Coconut w Pineapples ,Chilled Almond Jelly with Longan ,Banana,,Apple,Grass Jelly & Longan ,Apple,Chilled Honey Sea Coconut w Pineapples ,Chilled Almond Jelly with Longan ,Banana,,Apple,Grass Jelly & Longan ,Apple,Chilled Honey Sea Coconut w Pineapples,Chilled Almond Jelly with Longan ,Banana,,Apple,Grass Jelly & Longan ,Orange,Homemade Barley w Beancurd Skin ,,Banana,,Apple,Red Bean Soup ,Orange,Chilled Honey Sea Coconut w Pineapples ,Chilled Almond Jelly with Longan ,Banana,,Apple,Grass Jelly & Longan ,Apple,Green Bean Soup w Sweet Potatoes ,Bo Bo Cha Cha ,Pear,,Banana,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,DRINK:,,DRINK:,,
Root Beer Float w Bailey's Ice Cream (Jk.. Cordial Drink),Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,Cordial Drink ,,Cordial Drink ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jia You for Midterms all :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
